abs,brand,compression_ratio,coupe_type,cylinder_bore,doors,fuel_tank_volume,fuel_type,generation,kerb_weight,model,number_of_cylinders,number_of_gears,number_of_valves_per_cylinder,piston_stroke,position_of_cylinders,power,seats,torque,wheelbase,hashtags,sentiment
1,Toyota,6,1,0,5,0,2,Prius c,1,Prius,4,10,4,3,1,1,5,2,2,#toyotaprius|#prius|#tprius|#priusprius|#toyotapriusprius|#tpriusprius,0.238475379
0,Toyota,0,7,4,5,4,1,Regius Ace,3,Regius,4,6,2,3,1,1,5,2,0,#toyotaregius|#regius|#tregius|#regiusregius|#toyotaregiusregius|#tregiusregius,0.011979167
1,Toyota,3,5,5,5,3,0,RAV 4 IV (facelift 2015),4,RAV 4,4,6,4,1,1,3,5,3,3,#toyotarav4|#rav4|#trav4|#rav4rav|#toyotarav4rav|#trav4rav,0
1,Toyota,2,8,6,5,4,0,Sequoia II,0,Sequoia,8,5,4,3,2,5,7,6,2,#toyotasequoia|#sequoia|#tsequoia|#sequoiasequoia|#toyotasequoiasequoia|#tsequoiasequoia,0.384693878
1,Toyota,5,7,4,5,5,0,Sienna III (facelift 2018),6,Sienna,6,8,4,4,2,5,5,5,2,#toyotasienna|#sienna|#tsienna|#siennasienna|#toyotasiennasienna|#tsiennasienna,0.461111111
1,Toyota,2,6,1,2,1,0,MR-S,1,MR-S,4,5,4,6,1,2,2,1,1,#toyotamrs|#mrs|#tmrs|#mrsmrs|#toyotamrsmrs|#tmrsmrs,0.085576178
1,Toyota,0,8,3,5,4,1,Mega Cruiser (BXD20),0,Mega Cruiser,4,4,2,1,1,3,6,5,2,#toyotamegacruiser|#megacruiser|#tmegacruiser|#megacruisermega|#toyotamegacruisermega|#tmegacruisermega,0
1,Toyota,3,8,6,5,6,0,Land Cruiser Prado (150 facelift 2018) 5Door,6,Land Cruiser,6,6,4,1,2,5,5,5,5,#toyotalandcruiser|#landcruiser|#tlandcruiser|#landcruiserland|#toyotalandcruiserland|#tlandcruiserland,0.15
1,Toyota,0,2,4,5,4,0,Mark II Wagon Blit,4,Mark II,6,5,4,0,1,5,5,5,5,#toyotamarkii|#markii|#tmarkii|#markiimark|#toyotamarkiimark|#tmarkiimark,0.35
0,Toyota,2,1,5,5,1,0,Matrix II,3,Matrix,4,6,4,1,1,3,5,2,3,#toyotamatrix|#matrix|#tmatrix|#matrixmatrix|#toyotamatrixmatrix|#tmatrixmatrix,-1
1,Toyota,2,6,1,2,1,0,MR 2 (_W3_),1,MR 2,4,5,4,6,1,2,2,1,1,#toyotamr2|#mr2|#tmr2|#mr2mr|#toyotamr2mr|#tmr2mr,0.125
0,Toyota,2,7,4,5,4,0,Noah,3,Noah,4,6,4,4,1,3,8,2,6,#toyotanoah|#noah|#tnoah|#noahnoah|#toyotanoahnoah|#tnoahnoah,0
0,Toyota,2,12,4,5,4,0,Picnic,3,Picnic,4,6,4,4,1,3,5,2,2,#toyotapicnic|#picnic|#tpicnic|#picnicpicnic|#toyotapicnicpicnic|#tpicnicpicnic,0.349305556
1,Toyota,2,1,0,5,0,0,Passo,0,Passo,4,4,4,0,1,0,5,0,1,#toyotapasso|#passo|#tpasso|#passopasso|#toyotapassopasso|#tpassopasso,0
0,Toyota,1,12,6,5,6,0,Granvia,6,Granvia,4,6,4,1,1,3,5,3,2,#toyotagranvia|#granvia|#tgranvia|#granviagranvia|#toyotagranviagranvia|#tgranviagranvia,0.5
1,Toyota,6,3,4,2,1,0,GT 86,1,GT 86,4,6,4,4,0,4,4,2,2,#toyotagt86|#gt86|#tgt86|#gt86gt|#toyotagt86gt|#tgt86gt,0.18
